symbol,accuracy
COOKIE_USD,0.6703703703703704
COSMOSDYDX_USD,0.6806818181818182
CORECHAIN_USD,0.7006802721088435
COTI_USD,0.7132784958871915
COW_USD,0.6905615292712067
COMP_USD,0.7252525252525253
CRO_USD,0.7900101936799184
CTX_USD,0.7695605573419079
CRV_USD,0.7112676056338029
CTSI_USD,0.7163289630512515
CVC_USD,0.7802313354363828
CVX_USD,0.6912751677852349
DASH_USD,0.6555023923444976
DBR_USD,0.7676508344030809
DEGEN_USD,0.7310924369747899
DEXT_USD,0.6727272727272727
DIA_USD,0.7385542168674699
DNT_USD,0.71875
DOGINME_USD,0.7082706766917293
DOLO_USD,0.7146496815286624
DOGE_USD,0.778125
DOOD_USD,0.7586206896551724
DRIFT_USD,0.6305343511450382
DOT_USD,0.7664596273291926
EDGE_USD,0.7271241830065359
EGLD_USD,0.7587548638132295
EIGEN_USD,0.7094972067039106
ELSA_USD,0.657608695652174
ELA_USD,0.7346570397111913
ENA_USD,0.6761083743842364
ENS_USD,0.7886363636363637
ERA_USD,0.7011173184357542
EOS_USD,0.6746987951807228
ETHFI_USD,0.7479892761394102
EUL_USD,0.7714592274678111
ETC_USD,0.7754569190600522
ETH_USD,0.7983392645314353
FAI_USD,0.7013232514177694
FARM_USD,0.7272727272727273
FARTCOIN_USD,0.6585365853658537
FIDA_USD,0.7349081364829396
FET_USD,0.7328
FIGHT_USD,0.6075949367088608
2Z_USD,0.6629955947136564
A8_USD,0.685971685971686
00_USD,0.5601851851851852
FIL_USD,0.6738131699846861
1INCH_USD,0.6757719714964371
FLOKI_USD,0.7906403940886699
2Z_USD,0.6894273127753304
00_USD,0.5925925925925926
A8_USD,0.6924066924066924
AAVE_USD,0.7092896174863388
1INCH_USD,0.663895486935867
AAVE_USD,0.7092896174863388
ABT_USD,0.6491935483870968
ACH_USD,0.7340748230535895
ACS_USD,0.7305848513902206
ACX_USD,0.7180570221752904
AERGO_USD,0.7157598499061913
AGLD_USD,0.6783333333333333
ADA_USD,0.7266187050359713
AERO_USD,0.7098591549295775
ALEO_USD,0.6595365418894831
AIOZ_USD,0.7142857142857143
ALCX_USD,0.7374233128834355
AKT_USD,0.677801724137931
ALEPH_USD,0.6408163265306123
ALGO_USD,0.7322064056939501
ALLO_USD,0.6472148541114059
ALICE_USD,0.7338709677419355
ALT_USD,0.6846938775510204
AMP_USD,0.7361963190184049
ANKR_USD,0.7321428571428571
APR_USD,0.6733466933867736
APE_USD,0.7473309608540926
API3_USD,0.6871165644171779
