symbol,approved_trades,baseline_return,strategy_return,baseline_sharpe,strategy_sharpe,baseline_max_dd,strategy_max_dd,status,aggregation_date
AXS,35,-6.32,40415.14,0.48,11.66,-63.61,-5.9,Active,2026-04-04
CLV,147,-14.08,57.74,-5.51,15.11,-18.92,-1.64,Active,2026-04-04
JTO,11,-34.91,3713.75,-0.62,11.56,-56.19,-1.15,Active,2026-04-04
BICO,5,-65.97,3451.58,-3.45,13.91,-71.47,-5.4,Active,2026-04-04
INJ,8,-48.82,2692.7,-1.64,12.63,-54.55,0.0,Active,2026-04-04
C98,11,-9.0,14623.48,0.32,10.29,-33.56,-14.3,Active,2026-04-04
GST,32,-23.73,34632.49,-0.27,16.04,-49.34,-1.21,Active,2026-04-04
BNT,0,-36.02,792.82,-1.48,13.76,-46.05,-0.58,No Trades,2026-04-04
AGLD,77,-19.84,3575.76,0.09,10.82,-44.59,-4.13,Active,2026-04-04
APT,5,-54.65,6614.15,-1.63,19.28,-64.27,-1.94,Active,2026-04-04
CORECHAIN,3,-52.21,5144.9,-1.45,14.31,-57.52,-0.35,Active,2026-04-04
AUCTION,9,-17.92,6216.65,0.07,8.51,-46.79,-7.58,Active,2026-04-04
FARM,0,-43.35,1819.83,-1.86,11.29,-47.2,-1.35,No Trades,2026-04-04
ARPA,9,-36.49,649.11,-0.45,5.11,-53.54,-11.12,Active,2026-04-04
LSETH,2,-28.16,627.3,-0.76,10.91,-45.13,-6.74,Active,2026-04-04
LQTY,0,0.0,0.0,0.0,0.0,0.0,0.0,Error,2026-04-04
FET,12,-13.03,5234.09,0.19,16.33,-52.19,-5.27,Active,2026-04-04
IDEX,361,-74.1,375.54,-3.18,7.32,-75.34,-7.14,Active,2026-04-04
HONEY,238,-77.88,170.43,-3.88,4.42,-81.45,-10.65,Active,2026-04-04
EOS,0,-8.25,46.9,-3.25,21.94,-14.34,0.0,No Trades,2026-04-04
JASMY,15,-28.29,1367.79,-0.52,15.13,-48.49,-2.05,Active,2026-04-04
FLOW,73,-86.75,905.86,-3.06,5.96,-87.71,-17.95,Active,2026-04-04
FIS,224,-67.23,71290.5,-1.08,11.25,-69.05,-12.57,Active,2026-04-04
1INCH,29,-52.36,3973.38,-2.05,15.89,-56.44,-1.12,Active,2026-04-04
LINK,1,-31.3,485.8,-1.09,13.61,-46.02,-1.54,Active,2026-04-04
CTSI,5,-47.13,2198.96,-1.98,15.25,-47.96,-2.59,Active,2026-04-04
ANKR,12,-43.37,1826.79,-1.33,13.22,-50.36,-1.37,Active,2026-04-04
CELR,0,-42.18,0.42,-1.63,1.45,-50.42,0.0,No Trades,2026-04-04
BTRST,70,-42.37,1396.34,-0.14,5.37,-54.81,-18.51,Active,2026-04-04
DOGE,0,-40.36,1408.21,-1.32,12.53,-42.89,-2.76,No Trades,2026-04-04
MKR,0,0.0,0.0,0.0,0.0,0.0,0.0,Error,2026-04-04
CBETH,0,-28.67,995.63,-0.93,12.55,-45.63,-2.98,No Trades,2026-04-04
HBAR,0,-36.9,319.86,-1.42,10.34,-47.23,-3.0,No Trades,2026-04-04
INV,1,-55.14,1244.67,-2.72,11.03,-58.27,-10.71,Active,2026-04-04
ABT,821,-35.88,79513.59,-1.49,18.83,-63.61,-1.03,Active,2026-04-04
CRO,0,-33.51,468.08,-1.72,11.93,-36.42,-1.83,No Trades,2026-04-04
API3,15,-49.36,4126.94,-1.78,13.05,-51.61,-3.44,Active,2026-04-04
ARKM,7,-58.87,3428.96,-2.03,14.65,-60.63,-3.49,Active,2026-04-04
GMT,11,-46.87,4085.48,-1.3,12.3,-53.64,-1.16,Active,2026-04-04
AERGO,4,-10.7,4159.07,-0.01,9.57,-22.85,-3.27,Active,2026-04-04
ILV,3,-54.64,2136.51,-2.17,14.98,-56.27,-1.0,Active,2026-04-04
AVT,112,-34.78,3310.82,-1.42,10.14,-41.41,-5.97,Active,2026-04-04
ETC,0,-41.35,819.48,-1.76,13.69,-43.58,-0.46,No Trades,2026-04-04
HNT,239,-44.37,5716.43,-1.02,15.57,-65.72,-1.18,Active,2026-04-04
FIL,1,-46.84,2344.02,-1.44,16.44,-49.28,-10.45,Active,2026-04-04
ALEPH,591,-44.3,72702.57,-0.1,14.18,-59.17,-5.66,Active,2026-04-04
AIOZ,13,-48.99,5730.24,-1.19,16.27,-64.5,-4.08,Active,2026-04-04
ELA,423,-60.91,2320.33,-2.59,8.76,-64.79,-2.54,Active,2026-04-04
HOPR,11,-31.92,1159.24,-1.08,9.7,-42.51,-7.34,Active,2026-04-04
CRV,1,-46.9,8194.5,-1.84,19.47,-50.85,-0.41,Active,2026-04-04
LTC,0,-36.0,236.55,-1.74,13.26,-41.61,-0.56,No Trades,2026-04-04
DASH,15,-44.08,19497.3,-0.78,14.25,-64.51,-4.41,Active,2026-04-04
DIMO,601,-30.56,6193.34,-0.76,11.97,-57.71,-5.66,Active,2026-04-04
