symbol,passed,failed,total,last_active
SPELL,0,7,7,"2026-04-17 10:58:17,681"
STG,0,8,8,"2026-04-17 10:35:40,506"
STORJ,0,8,8,"2026-04-17 10:02:37,796"
STRK,0,3,3,"2026-04-17 09:10:45,370"
STX,24,16,40,"2026-04-17 10:51:07,039"
SUI,30,20,50,"2026-04-17 10:56:11,787"
SUKU,0,2,2,"2026-04-17 09:55:36,181"
SUPER,0,11,11,"2026-04-17 10:51:04,719"
SUSHI,15,11,26,"2026-04-17 10:58:07,410"
SWFTC,0,8,8,"2026-04-17 10:57:00,580"
T,0,9,9,"2026-04-17 10:55:46,682"
TIA,0,8,8,"2026-04-17 11:01:40,125"
TIME,0,9,9,"2026-04-17 10:52:36,885"
TNSR,30,20,50,"2026-04-17 11:05:10,569"
TRAC,0,9,9,"2026-04-17 09:45:09,105"
TRB,0,10,10,"2026-04-17 11:07:21,767"
TRU,0,11,11,"2026-04-17 11:14:25,281"
UMA,0,8,8,"2026-04-17 09:52:22,024"
UNI,0,9,9,"2026-04-17 10:58:51,575"
VARA,0,6,6,"2026-04-17 10:36:14,035"
VELO,0,15,15,"2026-04-17 10:56:49,587"
VET,0,9,9,"2026-04-17 10:34:53,448"
VOXEL,0,2,2,"2026-04-17 08:35:30,609"
VTHO,0,6,6,"2026-04-17 10:55:36,326"
WAXL,0,10,10,"2026-04-17 10:34:37,670"
XCN,0,10,10,"2026-04-17 10:59:08,079"
XLM,0,9,9,"2026-04-17 10:34:14,955"
XRP,0,10,10,"2026-04-17 10:54:37,413"
XTZ,0,8,8,"2026-04-17 10:51:15,334"
XYO,0,8,8,"2026-04-17 10:59:41,183"
YFI,0,10,10,"2026-04-17 10:56:37,280"
ZEC,14,22,36,"2026-04-17 10:53:15,471"
ZEN,0,8,8,"2026-04-17 10:55:07,653"
ZETA,0,9,9,"2026-04-17 10:49:26,422"
ZRO,0,8,8,"2026-04-17 10:57:47,154"
ZRX,0,11,11,"2026-04-17 10:56:50,709"
