symbol,timestamp,outcome,entry_price,detail
A8,2026-04-16T20:43:42-07:00,HIT,0.0107,71.3
AVT,2026-04-17T03:41:40-07:00,HIT,0.57,38.333333333333336
DNT,2026-04-17T05:29:55-07:00,HIT,0.0078,265.0833333333333
DNT,2026-04-17T09:04:26-07:00,HIT,0.0077,50.56666666666667
AST,2026-04-17T09:07:28-07:00,WAITING,0.0069,-4.347826086956521
AKT,2026-04-17T09:07:50-07:00,WAITING,0.507,-10.059171597633133
AVT,2026-04-17T09:14:14-07:00,HIT,0.58,225.76666666666668
AVT,2026-04-17T12:15:47-07:00,HIT,0.58,44.21666666666667
ACH,2026-04-17T13:41:21-07:00,HIT,0.006422,28.65
AAVE,2026-04-17T13:41:54-07:00,WAITING,116.48,-14.302884615384622
00,2026-04-17T13:42:17-07:00,HIT,0.0047,17.716666666666665
ADA,2026-04-17T13:42:42-07:00,WAITING,0.26,-4.423076923076927
HONEY,2026-04-17T13:42:58-07:00,WAITING,0.0022,-13.63636363636364
AGLD,2026-04-17T13:43:01-07:00,HIT,0.2771,106.98333333333333
DNT,2026-04-17T13:43:29-07:00,HIT,0.0078,836.5166666666667
DIMO,2026-04-17T13:43:42-07:00,HIT,0.01203,36.3
AST,2026-04-17T15:14:48-07:00,HIT,0.0066,0.2
ASM,2026-04-17T17:48:04-07:00,HIT,0.00684,266.93333333333334
STRK,2026-04-17T18:25:28-07:00,HIT,0.037,-0.4666666666666667
DNT,2026-04-17T20:00:12-07:00,HIT,0.0077,204.8
ABT,2026-04-17T20:15:27-07:00,HIT,0.3119,4.55
SHPING,2026-04-17T20:16:01-07:00,HIT,0.001136,3.9833333333333334
DEXT,2026-04-17T20:16:06-07:00,HIT,0.1257,133.9
TIME,2026-04-17T20:21:32-07:00,HIT,2.97,3.466666666666667
PLU,2026-04-17T21:11:11-07:00,HIT,0.14722,668.8166666666667
CRV,2026-04-17T21:57:36-07:00,HIT,0.2392,142.4
AST,2026-04-17T23:26:25-07:00,WAITING,0.0069,-4.347826086956521
TIME,2026-04-17T23:55:12-07:00,HIT,2.81,-0.2
DEXT,2026-04-18T00:01:06-07:00,HIT,0.1264,243.9
SHPING,2026-04-18T00:09:53-07:00,HIT,0.001156,55.11666666666667
ABT,2026-04-18T00:16:30-07:00,HIT,0.2967,298.5
AIOZ,2026-04-18T01:34:15-07:00,HIT,0.0653,395.75
PLU,2026-04-18T02:23:31-07:00,HIT,0.14538,41.483333333333334
ELA,2026-04-18T03:11:37-07:00,HIT,0.45,143.38333333333333
DEXT,2026-04-18T03:27:36-07:00,HIT,0.1264,37.4
FIL,2026-04-18T03:29:06-07:00,WAITING,0.963,-3.3229491173416323
TIME,2026-04-18T04:46:39-07:00,HIT,2.78,18.35
